RUN	myfirstpackage.SetUpUserLoadOpenSystem	setupuserloadopensystem	1549515066648	 	3.0.2
REQUEST	4		SelectFlight	1549515110039	1549515110389	OK	 
USER	SE1	9	END	1549515074551	1549515110464
REQUEST	5		SelectFlight	1549515111309	1549515111617	OK	 
REQUEST	12		SearchFlight	1549515111683	1549515111949	OK	 
REQUEST	10		SearchFlight	1549515111683	1549515111972	OK	 
USER	SE1	11	END	1549515075568	1549515112191
REQUEST	6		SelectFlight	1549515112192	1549515112465	OK	 
USER	SE1	13	END	1549515076571	1549515113421
REQUEST	14		SearchFlight	1549515113203	1549515113611	OK	 
REQUEST	16		SearchFlight	1549515113480	1549515113791	OK	 
REQUEST	18		SearchFlight	1549515113511	1549515113930	OK	 
USER	SE1	19	END	1549515079568	1549515114144
USER	SE1	17	END	1549515078568	1549515114148
REQUEST	20		SearchFlight	1549515113820	1549515114196	OK	 
USER	SE1	15	END	1549515077572	1549515114448
REQUEST	8		SelectFlight	1549515121631	1549515121902	OK	 
REQUEST	4		BookFlight	1549515122028	1549515122450	OK	 
REQUEST	4		BookFlight Redirect 1	1549515122455	1549515122883	OK	 
REQUEST	5		BookFlight	1549515123315	1549515123701	OK	 
REQUEST	5		BookFlight Redirect 1	1549515123702	1549515124010	OK	 
REQUEST	10		SelectFlight	1549515123603	1549515124010	OK	 
REQUEST	12		SelectFlight	1549515123613	1549515124011	OK	 
REQUEST	6		BookFlight	1549515124100	1549515125183	OK	 
USER	SE2	4	END	1549515070631	1549515125185
REQUEST	6		BookFlight Redirect 1	1549515125185	1549515125491	OK	 
REQUEST	14		SelectFlight	1549515125180	1549515125491	OK	 
USER	SE2	5	END	1549515071574	1549515125526
REQUEST	16		SelectFlight	1549515125479	1549515125853	OK	 
REQUEST	18		SelectFlight	1549515125479	1549515125856	OK	 
REQUEST	20		SelectFlight	1549515125902	1549515126167	OK	 
USER	SE2	6	END	1549515072568	1549515127155
REQUEST	8		BookFlight	1549515133691	1549515135066	OK	 
REQUEST	8		BookFlight Redirect 1	1549515135067	1549515135376	OK	 
REQUEST	12		BookFlight	1549515135531	1549515136192	OK	 
REQUEST	10		BookFlight	1549515135532	1549515136279	OK	 
REQUEST	12		BookFlight Redirect 1	1549515136193	1549515136523	OK	 
REQUEST	10		BookFlight Redirect 1	1549515136280	1549515136543	OK	 
USER	SE2	8	END	1549515073573	1549515136878
REQUEST	14		BookFlight	1549515137163	1549515137567	OK	 
REQUEST	18		BookFlight	1549515137484	1549515137887	OK	 
REQUEST	16		BookFlight	1549515137485	1549515138548	OK	 
USER	SE2	12	END	1549515075563	1549515138551
REQUEST	18		BookFlight Redirect 1	1549515137888	1549515138554	OK	 
REQUEST	14		BookFlight Redirect 1	1549515137568	1549515138554	OK	 
USER	SE2	10	END	1549515074551	1549515138556
REQUEST	20		BookFlight	1549515137909	1549515138919	OK	 
REQUEST	16		BookFlight Redirect 1	1549515138549	1549515138964	OK	 
REQUEST	20		BookFlight Redirect 1	1549515138920	1549515139368	OK	 
USER	SE2	14	END	1549515076571	1549515140290
USER	SE2	18	END	1549515078564	1549515140290
USER	SE2	16	END	1549515077572	1549515140604
USER	SE2	20	END	1549515079568	1549515141006
