RUN	learngatling.SetUpUserLoadOpensystem	setupuserloadopensystem	1549513122630	 	3.0.2
REQUEST	38		Homepage	1549513142349	1549513143246	OK	 
USER	SE2	40	START	1549513143351	1549513143351
USER	SE1	39	START	1549513143351	1549513143351
REQUEST	37		Homepage	1549513142337	1549513143421	OK	 
REQUEST	2		SearchFlight	1549513144080	1549513144380	OK	 
REQUEST	40		Homepage	1549513143352	1549513144413	OK	 
REQUEST	39		Homepage	1549513143351	1549513144437	OK	 
REQUEST	3		SearchFlight	1549513145971	1549513146329	OK	 
REQUEST	7		SearchFlight	1549513148988	1549513149500	OK	 
REQUEST	9		SearchFlight	1549513150268	1549513150538	OK	 
REQUEST	1		Homepage	1549513154731	1549513154979	OK	 
REQUEST	4		SearchFlight	1549513154842	1549513155132	OK	 
REQUEST	5		SearchFlight	1549513154868	1549513155177	OK	 
REQUEST	11		SearchFlight	1549513155291	1549513155609	OK	 
REQUEST	2		Homepage	1549513156330	1549513156692	OK	 
REQUEST	6		SearchFlight	1549513157411	1549513157701	OK	 
REQUEST	3		Homepage	1549513157950	1549513158281	OK	 
REQUEST	13		SearchFlight	1549513159067	1549513159351	OK	 
REQUEST	8		SearchFlight	1549513160052	1549513160317	OK	 
REQUEST	17		SearchFlight	1549513160788	1549513161097	OK	 
REQUEST	7		Homepage	1549513161036	1549513161289	OK	 
REQUEST	15		SearchFlight	1549513161438	1549513161671	OK	 
REQUEST	10		SearchFlight	1549513161999	1549513162235	OK	 
REQUEST	9		Homepage	1549513162080	1549513162303	OK	 
REQUEST	19		SearchFlight	1549513162138	1549513162375	OK	 
REQUEST	12		SearchFlight	1549513166312	1549513166600	OK	 
REQUEST	1		SearchFlight	1549513166589	1549513166865	OK	 
REQUEST	21		SearchFlight	1549513166632	1549513166884	OK	 
REQUEST	14		SearchFlight	1549513166678	1549513166926	OK	 
REQUEST	4		SelectFlight	1549513166688	1549513166992	OK	 
REQUEST	5		SelectFlight	1549513166709	1549513167015	OK	 
REQUEST	25		SearchFlight	1549513166842	1549513167077	OK	 
REQUEST	11		Homepage	1549513167136	1549513167377	OK	 
REQUEST	2		SearchFlight	1549513168268	1549513168526	OK	 
REQUEST	16		SearchFlight	1549513168578	1549513168841	OK	 
REQUEST	6		SelectFlight	1549513169199	1549513169477	OK	 
REQUEST	3		SearchFlight	1549513169750	1549513170011	OK	 
REQUEST	23		SearchFlight	1549513169971	1549513170298	OK	 
REQUEST	13		Homepage	1549513170822	1549513171072	OK	 
REQUEST	27		SearchFlight	1549513171240	1549513171526	OK	 
REQUEST	29		SearchFlight	1549513171319	1549513171566	OK	 
REQUEST	8		SelectFlight	1549513171758	1549513172002	OK	 
REQUEST	18		SearchFlight	1549513171962	1549513172244	OK	 
REQUEST	31		SearchFlight	1549513172241	1549513172540	OK	 
REQUEST	33		SearchFlight	1549513172387	1549513172626	OK	 
REQUEST	39		SearchFlight	1549513172531	1549513172802	OK	 
REQUEST	35		SearchFlight	1549513172547	1549513172839	OK	 
REQUEST	37		SearchFlight	1549513172547	1549513172887	OK	 
REQUEST	17		Homepage	1549513172547	1549513172901	OK	 
REQUEST	7		SearchFlight	1549513172748	1549513173017	OK	 
REQUEST	15		Homepage	1549513173099	1549513173338	OK	 
REQUEST	20		SearchFlight	1549513173321	1549513173574	OK	 
REQUEST	10		SelectFlight	1549513173676	1549513173949	OK	 
REQUEST	9		SearchFlight	1549513173761	1549513174078	OK	 
REQUEST	19		Homepage	1549513173808	1549513174119	OK	 
REQUEST	22		SearchFlight	1549513175492	1549513175827	OK	 
REQUEST	24		SearchFlight	1549513175970	1549513176266	OK	 
REQUEST	26		SearchFlight	1549513177029	1549513177363	OK	 
REQUEST	12		SelectFlight	1549513178101	1549513178337	OK	 
REQUEST	1		Homepage	1549513178306	1549513178543	OK	 
REQUEST	21		Homepage	1549513178348	1549513178583	OK	 
REQUEST	14		SelectFlight	1549513178400	1549513178630	OK	 
REQUEST	25		Homepage	1549513178528	1549513178796	OK	 
REQUEST	4		BookFlight	1549513178570	1549513180025	OK	 
REQUEST	5		BookFlight	1549513178569	1549513180460	OK	 
REQUEST	11		SearchFlight	1549513178857	1549513180491	OK	 
REQUEST	2		Homepage	1549513180016	1549513180500	OK	 
REQUEST	4		BookFlight Redirect 1	1549513180039	1549513180519	OK	 
REQUEST	16		SelectFlight	1549513180296	1549513180537	OK	 
REQUEST	5		BookFlight Redirect 1	1549513180462	1549513180742	OK	 
REQUEST	28		SearchFlight	1549513181006	1549513181413	OK	 
REQUEST	6		BookFlight	1549513181018	1549513181607	OK	 
REQUEST	3		Homepage	1549513181529	1549513181760	OK	 
REQUEST	6		BookFlight Redirect 1	1549513181608	1549513181844	OK	 
REQUEST	23		Homepage	1549513181822	1549513182073	OK	 
REQUEST	4		Homepage	1549513181965	1549513182199	OK	 
REQUEST	5		Homepage	1549513182239	1549513182478	OK	 
REQUEST	13		SearchFlight	1549513182507	1549513182807	OK	 
REQUEST	30		SearchFlight	1549513182588	1549513182854	OK	 
REQUEST	32		SearchFlight	1549513182890	1549513183182	OK	 
REQUEST	29		Homepage	1549513183007	1549513183323	OK	 
REQUEST	27		Homepage	1549513182996	1549513183370	OK	 
REQUEST	34		SearchFlight	1549513183266	1549513183627	OK	 
REQUEST	6		Homepage	1549513183366	1549513183652	OK	 
REQUEST	8		BookFlight	1549513183462	1549513184097	OK	 
REQUEST	38		SearchFlight	1549513183631	1549513184122	OK	 
REQUEST	36		SearchFlight	1549513183751	1549513184142	OK	 
REQUEST	18		SelectFlight	1549513183740	1549513184166	OK	 
REQUEST	40		SearchFlight	1549513183740	1549513184192	OK	 
REQUEST	8		BookFlight Redirect 1	1549513184099	1549513184332	OK	 
REQUEST	33		Homepage	1549513184130	1549513184361	OK	 
REQUEST	31		Homepage	1549513184119	1549513184376	OK	 
REQUEST	39		Homepage	1549513184256	1549513184487	OK	 
REQUEST	35		Homepage	1549513184278	1549513184530	OK	 
REQUEST	37		Homepage	1549513184316	1549513184565	OK	 
REQUEST	17		SearchFlight	1549513184358	1549513184654	OK	 
REQUEST	7		Homepage	1549513184481	1549513184745	OK	 
REQUEST	15		SearchFlight	1549513184807	1549513185043	OK	 
REQUEST	20		SelectFlight	1549513185107	1549513185341	OK	 
REQUEST	10		BookFlight	1549513185409	1549513185963	OK	 
REQUEST	9		Homepage	1549513185528	1549513185977	OK	 
REQUEST	19		SearchFlight	1549513185560	1549513185997	OK	 
REQUEST	10		BookFlight Redirect 1	1549513185965	1549513186196	OK	 
REQUEST	8		Homepage	1549513185992	1549513186214	OK	 
REQUEST	22		SelectFlight	1549513187346	1549513187583	OK	 
REQUEST	10		Homepage	1549513187687	1549513187916	OK	 
REQUEST	24		SelectFlight	1549513187871	1549513188114	OK	 
REQUEST	26		SelectFlight	1549513188801	1549513189048	OK	 
REQUEST	1		SearchFlight	1549513190476	1549513190716	OK	 
REQUEST	12		BookFlight	1549513190490	1549513190878	OK	 
REQUEST	12		BookFlight Redirect 1	1549513190879	1549513191186	OK	 
REQUEST	14		BookFlight	1549513191672	1549513192429	OK	 
REQUEST	21		SearchFlight	1549513191690	1549513192461	OK	 
REQUEST	25		SearchFlight	1549513191690	1549513192477	OK	 
REQUEST	2		SearchFlight	1549513191948	1549513192502	OK	 
REQUEST	11		Homepage	1549513191971	1549513192510	OK	 
REQUEST	14		BookFlight Redirect 1	1549513192429	1549513192965	OK	 
REQUEST	16		BookFlight	1549513191973	1549513192965	OK	 
REQUEST	28		SelectFlight	1549513192861	1549513193093	OK	 
REQUEST	12		Homepage	1549513192960	1549513193187	OK	 
REQUEST	16		BookFlight Redirect 1	1549513192966	1549513193207	OK	 
REQUEST	3		SearchFlight	1549513193248	1549513193492	OK	 
REQUEST	23		SearchFlight	1549513193630	1549513193907	OK	 
REQUEST	30		SelectFlight	1549513194307	1549513194547	OK	 
REQUEST	13		Homepage	1549513194328	1549513194560	OK	 
REQUEST	14		Homepage	1549513194414	1549513194638	OK	 
REQUEST	16		Homepage	1549513194640	1549513194872	OK	 
REQUEST	32		SelectFlight	1549513194649	1549513194893	OK	 
REQUEST	29		SearchFlight	1549513194846	1549513195092	OK	 
REQUEST	27		SearchFlight	1549513194922	1549513195179	OK	 
REQUEST	34		SelectFlight	1549513195340	1549513195592	OK	 
REQUEST	38		SelectFlight	1549513195561	1549513195820	OK	 
REQUEST	36		SelectFlight	1549513195566	1549513195878	OK	 
REQUEST	18		BookFlight	1549513195599	1549513196074	OK	 
REQUEST	40		SelectFlight	1549513195607	1549513196120	OK	 
REQUEST	31		SearchFlight	1549513195989	1549513196271	OK	 
REQUEST	39		SearchFlight	1549513196001	1549513196279	OK	 
REQUEST	35		SearchFlight	1549513196001	1549513196309	OK	 
REQUEST	33		SearchFlight	1549513196011	1549513196353	OK	 
REQUEST	37		SearchFlight	1549513196016	1549513196383	OK	 
REQUEST	18		BookFlight Redirect 1	1549513196076	1549513196394	OK	 
REQUEST	17		Homepage	1549513196148	1549513196408	OK	 
REQUEST	7		SearchFlight	1549513196206	1549513196462	OK	 
REQUEST	15		Homepage	1549513196496	1549513196728	OK	 
REQUEST	20		BookFlight	1549513196801	1549513197216	OK	 
REQUEST	20		BookFlight Redirect 1	1549513197218	1549513197448	OK	 
REQUEST	9		SearchFlight	1549513197406	1549513197648	OK	 
REQUEST	19		Homepage	1549513197428	1549513197656	OK	 
REQUEST	18		Homepage	1549513197844	1549513198080	OK	 
REQUEST	20		Homepage	1549513198920	1549513199140	OK	 
REQUEST	22		BookFlight	1549513199063	1549513199458	OK	 
REQUEST	22		BookFlight Redirect 1	1549513199459	1549513199705	OK	 
REQUEST	24		BookFlight	1549513199649	1549513200052	OK	 
REQUEST	24		BookFlight Redirect 1	1549513200053	1549513200314	OK	 
REQUEST	26		BookFlight	1549513200581	1549513201323	OK	 
REQUEST	22		Homepage	1549513201324	1549513201548	OK	 
REQUEST	26		BookFlight Redirect 1	1549513201324	1549513201560	OK	 
REQUEST	24		Homepage	1549513201757	1549513201991	OK	 
REQUEST	1		Homepage	1549513202466	1549513202790	OK	 
REQUEST	26		Homepage	1549513203094	1549513203363	OK	 
REQUEST	11		SearchFlight	1549513204180	1549513204427	OK	 
REQUEST	21		Homepage	1549513204180	1549513204434	OK	 
REQUEST	25		Homepage	1549513204180	1549513204443	OK	 
REQUEST	2		Homepage	1549513204190	1549513204455	OK	 
REQUEST	28		BookFlight	1549513204541	1549513205183	OK	 
REQUEST	3		Homepage	1549513204927	1549513205198	OK	 
REQUEST	28		BookFlight Redirect 1	1549513205184	1549513205409	OK	 
REQUEST	23		Homepage	1549513205369	1549513205616	OK	 
REQUEST	4		SearchFlight	1549513206119	1549513206361	OK	 
REQUEST	30		BookFlight	1549513206122	1549513206579	OK	 
REQUEST	13		SearchFlight	1549513206130	1549513206665	OK	 
REQUEST	32		BookFlight	1549513206389	1549513206865	OK	 
REQUEST	5		SearchFlight	1549513206408	1549513206883	OK	 
REQUEST	30		BookFlight Redirect 1	1549513206580	1549513206905	OK	 
REQUEST	29		Homepage	1549513206576	1549513206911	OK	 
REQUEST	27		Homepage	1549513206618	1549513206917	OK	 
REQUEST	28		Homepage	1549513206912	1549513207167	OK	 
REQUEST	32		BookFlight Redirect 1	1549513206866	1549513207167	OK	 
REQUEST	34		BookFlight	1549513207208	1549513207560	OK	 
REQUEST	6		SearchFlight	1549513207308	1549513207583	OK	 
REQUEST	38		BookFlight	1549513207331	1549513207718	OK	 
REQUEST	36		BookFlight	1549513207341	1549513208221	OK	 
REQUEST	34		BookFlight Redirect 1	1549513207561	1549513208242	OK	 
REQUEST	40		BookFlight	1549513207621	1549513208903	OK	 
REQUEST	38		BookFlight Redirect 1	1549513207719	1549513208909	OK	 
REQUEST	39		Homepage	1549513207731	1549513208909	OK	 
REQUEST	33		Homepage	1549513207788	1549513208910	OK	 
REQUEST	35		Homepage	1549513207799	1549513208910	OK	 
REQUEST	31		Homepage	1549513207736	1549513208917	OK	 
REQUEST	37		Homepage	1549513207821	1549513208917	OK	 
REQUEST	17		SearchFlight	1549513207842	1549513208931	OK	 
REQUEST	7		Homepage	1549513207942	1549513208955	OK	 
REQUEST	15		SearchFlight	1549513208180	1549513208960	OK	 
REQUEST	36		BookFlight Redirect 1	1549513208221	1549513208973	OK	 
REQUEST	40		BookFlight Redirect 1	1549513208904	1549513209138	OK	 
REQUEST	30		Homepage	1549513208934	1549513209187	OK	 
REQUEST	32		Homepage	1549513208975	1549513209204	OK	 
REQUEST	9		Homepage	1549513209107	1549513209340	OK	 
REQUEST	19		SearchFlight	1549513209107	1549513209359	OK	 
REQUEST	34		Homepage	1549513210192	1549513210428	OK	 
REQUEST	8		SearchFlight	1549513210330	1549513210571	OK	 
REQUEST	38		Homepage	1549513210361	1549513210583	OK	 
REQUEST	36		Homepage	1549513210432	1549513210784	OK	 
REQUEST	40		Homepage	1549513210572	1549513210827	OK	 
REQUEST	10		SearchFlight	1549513212779	1549513213034	OK	 
REQUEST	1		SearchFlight	1549513214316	1549513214579	OK	 
REQUEST	11		Homepage	1549513215870	1549513216109	OK	 
REQUEST	21		SearchFlight	1549513215881	1549513216137	OK	 
REQUEST	2		SearchFlight	1549513215892	1549513216167	OK	 
REQUEST	25		SearchFlight	1549513215896	1549513216214	OK	 
REQUEST	3		SearchFlight	1549513216866	1549513217175	OK	 
REQUEST	12		SearchFlight	1549513216877	1549513217207	OK	 
REQUEST	23		SearchFlight	1549513217170	1549513217440	OK	 
REQUEST	4		SelectFlight	1549513218896	1549513219147	OK	 
REQUEST	13		Homepage	1549513218916	1549513219166	OK	 
REQUEST	27		SearchFlight	1549513218937	1549513219192	OK	 
REQUEST	5		SelectFlight	1549513218937	1549513219215	OK	 
REQUEST	29		SearchFlight	1549513218948	1549513219249	OK	 
REQUEST	14		SearchFlight	1549513218968	1549513219337	OK	 
REQUEST	16		SearchFlight	1549513218979	1549513219359	OK	 
REQUEST	6		SelectFlight	1549513219452	1549513219698	OK	 
REQUEST	39		SearchFlight	1549513220368	1549513220631	OK	 
REQUEST	35		SearchFlight	1549513220368	1549513220661	OK	 
REQUEST	33		SearchFlight	1549513220368	1549513220684	OK	 
REQUEST	17		Homepage	1549513220389	1549513220700	OK	 
REQUEST	37		SearchFlight	1549513220389	1549513220724	OK	 
REQUEST	15		Homepage	1549513220400	1549513220732	OK	 
REQUEST	31		SearchFlight	1549513220400	1549513220795	OK	 
REQUEST	7		SearchFlight	1549513220431	1549513220830	OK	 
REQUEST	9		SearchFlight	1549513220797	1549513221062	OK	 
REQUEST	19		Homepage	1549513220840	1549513221082	OK	 
REQUEST	8		SelectFlight	1549513222011	1549513222251	OK	 
REQUEST	18		SearchFlight	1549513222760	1549513223065	OK	 
REQUEST	10		SelectFlight	1549513224477	1549513224773	OK	 
REQUEST	20		SearchFlight	1549513224800	1549513225082	OK	 
REQUEST	1		Homepage	1549513226041	1549513226311	OK	 
REQUEST	22		SearchFlight	1549513227039	1549513227335	OK	 
REQUEST	24		SearchFlight	1549513227582	1549513227825	OK	 
REQUEST	11		SearchFlight	1549513227596	1549513227868	OK	 
REQUEST	21		Homepage	1549513227607	1549513227870	OK	 
REQUEST	2		Homepage	1549513227617	1549513227878	OK	 
REQUEST	25		Homepage	1549513227702	1549513227948	OK	 
REQUEST	26		SearchFlight	1549513228621	1549513228875	OK	 
REQUEST	3		Homepage	1549513228636	1549513228875	OK	 
REQUEST	12		SelectFlight	1549513228647	1549513228883	OK	 
REQUEST	23		Homepage	1549513228908	1549513229159	OK	 
REQUEST	13		SearchFlight	1549513230729	1549513231045	OK	 
REQUEST	28		SearchFlight	1549513230786	1549513231187	OK	 
REQUEST	14		SelectFlight	1549513230796	1549513231217	OK	 
REQUEST	5		BookFlight	1549513230798	1549513231716	OK	 
REQUEST	16		SelectFlight	1549513230807	1549513231717	OK	 
REQUEST	4		BookFlight	1549513230752	1549513231965	OK	 
REQUEST	29		Homepage	1549513230796	1549513231967	OK	 
REQUEST	27		Homepage	1549513230761	1549513231967	OK	 
REQUEST	6		BookFlight	1549513231160	1549513232012	OK	 
REQUEST	5		BookFlight Redirect 1	1549513231717	1549513232028	OK	 
REQUEST	4		BookFlight Redirect 1	1549513231966	1549513232203	OK	 
REQUEST	6		BookFlight Redirect 1	1549513232012	1549513232240	OK	 
REQUEST	39		Homepage	1549513232086	1549513232320	OK	 
REQUEST	33		Homepage	1549513232118	1549513232353	OK	 
REQUEST	35		Homepage	1549513232096	1549513232353	OK	 
REQUEST	17		SearchFlight	1549513232150	1549513232391	OK	 
REQUEST	37		Homepage	1549513232171	1549513232418	OK	 
REQUEST	15		SearchFlight	1549513232191	1549513232447	OK	 
REQUEST	31		Homepage	1549513232296	1549513232528	OK	 
REQUEST	7		Homepage	1549513232307	1549513232562	OK	 
REQUEST	9		Homepage	1549513232527	1549513232812	OK	 
REQUEST	19		SearchFlight	1549513232527	1549513232834	OK	 
REQUEST	5		Homepage	1549513233470	1549513233701	OK	 
REQUEST	4		Homepage	1549513233659	1549513233882	OK	 
REQUEST	6		Homepage	1549513233690	1549513233919	OK	 
REQUEST	8		BookFlight	1549513233742	1549513234088	OK	 
REQUEST	8		BookFlight Redirect 1	1549513234088	1549513234330	OK	 
REQUEST	18		SelectFlight	1549513235399	1549513235721	OK	 
REQUEST	8		Homepage	1549513235904	1549513236199	OK	 
REQUEST	10		BookFlight	1549513236309	1549513237164	OK	 
REQUEST	20		SelectFlight	1549513236620	1549513237190	OK	 
REQUEST	10		BookFlight Redirect 1	1549513237164	1549513237417	OK	 
REQUEST	32		SearchFlight	1549513237879	1549513238129	OK	 
REQUEST	1		SearchFlight	1549513237890	1549513238161	OK	 
REQUEST	30		SearchFlight	1549513237981	1549513238212	OK	 
REQUEST	10		Homepage	1549513238852	1549513239111	OK	 
REQUEST	22		SelectFlight	1549513238881	1549513239117	OK	 
REQUEST	24		SelectFlight	1549513239262	1549513239513	OK	 
REQUEST	11		Homepage	1549513239318	1549513239584	OK	 
REQUEST	21		SearchFlight	1549513239318	1549513239628	OK	 
REQUEST	2		SearchFlight	1549513239329	1549513239678	OK	 
REQUEST	25		SearchFlight	1549513239386	1549513239715	OK	 
REQUEST	3		SearchFlight	1549513240422	1549513240678	OK	 
REQUEST	26		SelectFlight	1549513240426	1549513240689	OK	 
REQUEST	12		BookFlight	1549513240428	1549513240839	OK	 
REQUEST	23		SearchFlight	1549513240726	1549513240998	OK	 
REQUEST	40		SearchFlight	1549513240726	1549513241000	OK	 
REQUEST	34		SearchFlight	1549513240726	1549513241024	OK	 
REQUEST	38		SearchFlight	1549513240726	1549513241048	OK	 
REQUEST	36		SearchFlight	1549513240726	1549513241072	OK	 
REQUEST	12		BookFlight Redirect 1	1549513240840	1549513241086	OK	 
REQUEST	12		Homepage	1549513242539	1549513242796	OK	 
REQUEST	13		Homepage	1549513243192	1549513243420	OK	 
REQUEST	14		BookFlight	1549513243228	1549513243925	OK	 
REQUEST	28		SelectFlight	1549513243248	1549513243950	OK	 
REQUEST	16		BookFlight	1549513243260	1549513244537	OK	 
REQUEST	29		SearchFlight	1549513243396	1549513244570	OK	 
REQUEST	27		SearchFlight	1549513243428	1549513244631	OK	 
REQUEST	39		SearchFlight	1549513243798	1549513244652	OK	 
REQUEST	35		SearchFlight	1549513243820	1549513244671	OK	 
REQUEST	33		SearchFlight	1549513243820	1549513244689	OK	 
REQUEST	17		Homepage	1549513243820	1549513244698	OK	 
REQUEST	37		SearchFlight	1549513243846	1549513244714	OK	 
REQUEST	15		Homepage	1549513243889	1549513244720	OK	 
REQUEST	14		BookFlight Redirect 1	1549513243926	1549513244735	OK	 
REQUEST	31		SearchFlight	1549513244088	1549513244779	OK	 
REQUEST	7		SearchFlight	1549513244088	1549513244804	OK	 
REQUEST	9		SearchFlight	1549513244266	1549513244883	OK	 
REQUEST	19		Homepage	1549513244276	1549513244894	OK	 
REQUEST	16		BookFlight Redirect 1	1549513244538	1549513244910	OK	 
REQUEST	14		Homepage	1549513246175	1549513246450	OK	 
REQUEST	16		Homepage	1549513246495	1549513246725	OK	 
REQUEST	18		BookFlight	1549513247389	1549513247872	OK	 
REQUEST	18		BookFlight Redirect 1	1549513247872	1549513248120	OK	 
USER	SE2	5	END	1549513125347	1549513249102
USER	SE2	6	END	1549513126349	1549513249108
USER	SE2	4	END	1549513124379	1549513249108
REQUEST	20		BookFlight	1549513248630	1549513249114	OK	 
REQUEST	20		BookFlight Redirect 1	1549513249115	1549513249340	OK	 
USER	SE2	8	END	1549513127347	1549513249549
USER	SE1	1	END	1549513124347	1549513249682
REQUEST	18		Homepage	1549513249576	1549513249798	OK	 
REQUEST	32		SelectFlight	1549513249681	1549513249917	OK	 
REQUEST	30		SelectFlight	1549513249717	1549513249953	OK	 
REQUEST	22		BookFlight	1549513250647	1549513250988	OK	 
USER	SE1	11	END	1549513129347	1549513251076
USER	SE1	2	END	1549513125379	1549513251166
REQUEST	20		Homepage	1549513250945	1549513251183	OK	 
USER	SE2	10	END	1549513128349	1549513251218
REQUEST	22		BookFlight Redirect 1	1549513250989	1549513251222	OK	 
REQUEST	24		BookFlight	1549513251019	1549513251357	OK	 
REQUEST	21		Homepage	1549513251087	1549513251371	OK	 
REQUEST	25		Homepage	1549513251187	1549513251411	OK	 
REQUEST	24		BookFlight Redirect 1	1549513251358	1549513251587	OK	 
USER	SE1	3	END	1549513126391	1549513252190
USER	SE2	18	END	1549513132346	1549513252431
REQUEST	26		BookFlight	1549513252180	1549513252884	OK	 
REQUEST	40		SelectFlight	1549513252490	1549513252907	OK	 
REQUEST	38		SelectFlight	1549513252491	1549513252924	OK	 
REQUEST	34		SelectFlight	1549513252501	1549513252948	OK	 
REQUEST	23		Homepage	1549513252501	1549513252955	OK	 
REQUEST	36		SelectFlight	1549513252501	1549513252965	OK	 
REQUEST	22		Homepage	1549513252888	1549513253111	OK	 
REQUEST	26		BookFlight Redirect 1	1549513252885	1549513253122	OK	 
REQUEST	24		Homepage	1549513253132	1549513253359	OK	 
USER	SE2	20	END	1549513133347	1549513254078
REQUEST	26		Homepage	1549513254551	1549513254781	OK	 
USER	SE2	12	END	1549513129347	1549513254918
USER	SE2	22	END	1549513134346	1549513255738
USER	SE1	13	END	1549513130346	1549513255878
USER	SE1	15	END	1549513131350	1549513256158
USER	SE1	17	END	1549513132346	1549513256158
USER	SE2	24	END	1549513135351	1549513256165
USER	SE1	7	END	1549513127348	1549513256258
USER	SE1	9	END	1549513128349	1549513256487
USER	SE1	19	END	1549513133347	1549513256520
USER	SE2	26	END	1549513136352	1549513256570
REQUEST	28		BookFlight	1549513255992	1549513256727	OK	 
REQUEST	33		Homepage	1549513256137	1549513256733	OK	 
REQUEST	27		Homepage	1549513256137	1549513256735	OK	 
REQUEST	39		Homepage	1549513256137	1549513256736	OK	 
REQUEST	35		Homepage	1549513256137	1549513256736	OK	 
REQUEST	29		Homepage	1549513256147	1549513256738	OK	 
REQUEST	37		Homepage	1549513256158	1549513256742	OK	 
REQUEST	31		Homepage	1549513256247	1549513256774	OK	 
REQUEST	28		BookFlight Redirect 1	1549513256728	1549513257032	OK	 
USER	SE1	27	END	1549513137342	1549513258039
USER	SE2	28	END	1549513137342	1549513258337
USER	SE2	14	END	1549513130346	1549513259226
USER	SE2	16	END	1549513131350	1549513259448
USER	SE2	32	END	1549513139346	1549513261369
USER	SE2	30	END	1549513138346	1549513261391
USER	SE1	21	END	1549513134346	1549513262966
USER	SE1	25	END	1549513136352	1549513262966
USER	SE2	40	END	1549513143351	1549513264336
USER	SE2	38	END	1549513142346	1549513264367
USER	SE2	34	END	1549513140350	1549513264377
USER	SE2	36	END	1549513141338	1549513264399
USER	SE1	23	END	1549513135351	1549513264421
